driver_id,driver_db_id,cycleRule,timezone,splitShiftActive,driveSeconds,onDutySeconds,cycleSeconds,remainingDriveMinutes,remainingShiftMinutes,breakRemainingMinutes,violation active,last7Days violation,violation patterns,last7Days pti_violations,pti_violation patterns,speed,latitude,longitude,Address,dataDate
sukh5912,68cf142425b5590dd4e8a44a,USA Property 70 Hour / 8 Day,America/New_York,False,0,86399,0,0,0,0,[0],0,[],0,[],0,0.0,0.0,,2025-09-20 20:58:44.656
sukh5912,68cf142425b5590dd4e8a44a,USA Property 70 Hour / 8 Day,America/New_York,False,0,172798,0,0,0,0,[0],0,[],0,[],0,0.0,0.0,,2025-09-20 20:58:44.682
sukh5912,68cf142425b5590dd4e8a44a,USA Property 70 Hour / 8 Day,America/New_York,False,0,259197,0,0,0,0,[0],0,[],0,[],0,0.0,0.0,,2025-09-20 20:58:44.708
sukh5912,68cf142425b5590dd4e8a44a,USA Property 70 Hour / 8 Day,America/New_York,False,0,345596,0,0,0,0,[0],0,[],0,[],0,0.0,0.0,,2025-09-20 20:58:44.732
sukh5912,68cf142425b5590dd4e8a44a,USA Property 70 Hour / 8 Day,America/New_York,False,0,431995,0,0,0,0,[0],0,[],0,[],0,0.0,0.0,,2025-09-20 20:58:44.756
sukh5912,68cf142425b5590dd4e8a44a,USA Property 70 Hour / 8 Day,America/New_York,False,0,518394,0,0,0,0,[0],0,[],0,[],0,0.0,0.0,,2025-09-20 20:58:44.786
sukh5912,68cf142425b5590dd4e8a44a,USA Property 70 Hour / 8 Day,America/New_York,False,0,604793,0,0,0,0,[0],0,[],0,[],0,0.0,0.0,,2025-09-20 20:58:44.811
sukh5912,68cf142425b5590dd4e8a44a,USA Property 70 Hour / 8 Day,America/New_York,False,0,691192,0,0,0,0,[0],0,[],0,[],0,0.0,0.0,,2025-09-20 20:58:44.835
sukh5912,68cf142425b5590dd4e8a44a,USA Property 70 Hour / 8 Day,America/New_York,False,0,777591,0,0,0,0,[0],0,[],0,[],0,0.0,0.0,,2025-09-20 20:58:44.859
sukh5912,68cf142425b5590dd4e8a44a,USA Property 70 Hour / 8 Day,America/New_York,False,0,863990,0,0,0,0,[0],0,[],0,[],0,0.0,0.0,,2025-09-20 20:58:44.885
sukh5912,68cf142425b5590dd4e8a44a,USA Property 70 Hour / 8 Day,America/New_York,False,0,950389,0,0,0,0,[0],0,[],0,[],0,0.0,0.0,,2025-09-20 20:58:44.914
sukh5912,68cf142425b5590dd4e8a44a,USA Property 70 Hour / 8 Day,America/New_York,False,0,1036788,0,0,0,0,[0],0,[],0,[],0,0.0,0.0,,2025-09-20 20:58:44.938
sukh5912,68cf142425b5590dd4e8a44a,USA Property 70 Hour / 8 Day,America/New_York,False,0,1123187,0,0,0,0,[0],0,[],0,[],0,0.0,0.0,,2025-09-20 20:58:44.963
sukh5912,68cf142425b5590dd4e8a44a,USA Property 70 Hour / 8 Day,America/New_York,False,0,1209586,0,0,0,0,[0],0,[],0,[],0,0.0,0.0,,2025-09-20 20:58:44.987
sukh5912,68cf142425b5590dd4e8a44a,USA Property 70 Hour / 8 Day,America/New_York,False,0,1295985,0,0,0,0,[0],0,[],0,[],,37.790936385860896,-121.31426085289476,"0.01 mi NNE Lathrop, CA",2025-09-20 20:58:45.012
sukh5912,68cf142425b5590dd4e8a44a,USA Property 70 Hour / 8 Day,America/New_York,False,0,1382384,0,0,0,0,[0],0,[],0,[],-121.31426085289476,37.790936385860896,-121.31426085289476,,2025-09-22 04:00:23.399
sukh5912,68cf142425b5590dd4e8a44a,USA Property 70 Hour / 8 Day,America/New_York,False,13395,13395,13395,223,235,223,[0],0,[],0,[],,35.312061,-118.999916,"0.03 mi E Bakersfield, CA",2025-09-22 04:00:23.416
