driver_id,driver_db_id,cycleRule,timezone,splitShiftActive,driveSeconds,onDutySeconds,cycleSeconds,remainingDriveMinutes,remainingShiftMinutes,breakRemainingMinutes,violation active,last7Days violation,violation patterns,last7Days pti_violations,pti_violation patterns,speed,latitude,longitude,Address,dataDate
sukhm7005,68f2bbb306e5f22a1c963c44,USA Property 70 Hour / 8 Day,America/Los_Angeles,False,0,345596,0,0,0,0,[0],0,[],0,[],-121.748497,38.683246,-121.748497,"Woodland, CA",2025-11-01 15:38:14.174
sukhm7005,68f2bbb306e5f22a1c963c44,USA Property 70 Hour / 8 Day,America/Los_Angeles,False,0,518394,0,0,0,0,[0],0,[],0,[],-121.748497,38.683246,-121.748497,"Woodland, CA",2025-11-03 14:53:59.525
sukhm7005,68f2bbb306e5f22a1c963c44,USA Property 70 Hour / 8 Day,America/Los_Angeles,False,0,431995,0,0,0,0,[0],0,[],0,[],-121.748497,38.683246,-121.748497,"Woodland, CA",2025-11-03 14:54:01.723
sukhm7005,68f2bbb306e5f22a1c963c44,USA Property 70 Hour / 8 Day,America/Los_Angeles,False,0,688317,0,0,0,0,[0],0,[],0,[],-121.748497,38.683246,-121.748497,"Woodland, CA",2025-11-05 14:57:20.391
sukhm7005,68f2bbb306e5f22a1c963c44,USA Property 70 Hour / 8 Day,America/Los_Angeles,False,0,601918,0,0,0,0,[0],0,[],0,[],-121.748497,38.683246,-121.748497,"Woodland, CA",2025-11-06 07:46:24.974
sukhm7005,68f2bbb306e5f22a1c963c44,USA Property 70 Hour / 8 Day,America/Los_Angeles,False,0,774716,0,0,0,0,[0],0,[],0,[],-121.748497,38.683246,-121.748497,"Woodland, CA",2025-11-06 09:10:43.170
sukhm7005,68f2bbb306e5f22a1c963c44,USA Property 70 Hour / 8 Day,America/Los_Angeles,False,0,259197,0,0,0,0,[0],0,[],0,[],-121.748497,38.683246,-121.748497,"Woodland, CA",2025-11-07 01:20:01.888
sukhm7005,68f2bbb306e5f22a1c963c44,USA Property 70 Hour / 8 Day,America/Los_Angeles,False,0,980299,0,0,0,0,[0],0,[],0,[],,38.683246,-121.748497,"Woodland, CA",2025-11-07 04:22:41.554
sukhm7005,68f2bbb306e5f22a1c963c44,USA Property 70 Hour / 8 Day,America/Los_Angeles,False,0,51,0,0,0,0,[0],0,[],0,[],-121.748497,38.683246,-121.748497,"Woodland, CA",2025-11-07 18:30:22.238
sukhm7005,68f2bbb306e5f22a1c963c44,USA Property 70 Hour / 8 Day,America/Los_Angeles,False,0,233432,0,0,0,0,[0],0,[],0,[],-121.748497,38.683246,-121.748497,"Woodland, CA",2025-11-10 17:55:52.147
